#  id  gal_type   ra          dec       redshift  log_luminosity  color      radius     b_over_a   pos_angle   bulge_fract   sersic_n    r_bulge     r_disk
  466     4    246.42896    46.24232     0.05680    10.53854     0.49281     7.37621     0.48976    57.93190     0.10367     0.88030     0.50428     8.27556
  469     4    117.23982    43.78659     0.03142    10.35222     0.54973     6.56862     0.47312    32.47790     0.15222     1.24900     0.73015     7.83387
  470     3    256.10271    33.37588     0.02962    10.27934     0.52185     5.28114     0.73802   -24.08600     0.23139     2.04000     1.03000     7.03486
  473     4    235.91559    47.66744     0.03786     9.64437     0.64101     4.82044     0.77822   -57.78810     0.07091     0.21140     2.19689     5.18798
  474     4    194.44234    27.75705     0.02043     9.93910     0.50364     4.40981     0.26427    19.47790     0.56053     1.31800     4.38336     5.22750
  475     2    315.22361    -0.38764     0.07949    10.79192     0.44099     9.21470     0.54511   -75.60540     0.15340     1.38710     0.90249    10.97008
  477     1    245.73873    23.89333     0.06270    11.12041     0.43326    14.54027     0.70752   -46.25610     0.86723     4.60010    14.51872    13.52668
  478     1    193.43337    43.24986     0.07238    10.75059     0.49027     5.44296     0.68194   -47.66180     0.89836     6.28390     5.07419     7.52235
  485     4    147.60485    44.25738     0.01577     9.21779     0.58046     2.89992     0.55936    26.05290     0.47773     1.21500     2.27656     4.41378
  490     4    204.10514    35.81831     0.05168    10.36718     0.50130     7.66583     0.23248    -7.86070     0.23651     1.44400     4.03637     8.88138
  492     4    115.82121    48.66697     0.08167    10.79070     0.48456    11.84607     0.25112   -75.34690     0.15730     0.56420     1.68353    14.28619
  494     1    189.39800    44.80102     0.06014    11.25922     0.41129    19.64938     0.90222   -78.96100     0.88524     6.24790    24.54541    10.17495
  495     4    320.15944     1.04728     0.02073    10.11512     0.66500     9.64931     0.23271    53.98850     0.15474     1.00000     2.75196    11.06464
  497     4    172.66989    47.01828     0.02500    10.31774     0.67757     6.89469     0.60555   -20.27800     0.11313     1.00000     1.38554     7.64826
  498     4    123.70233    25.92194     0.02093     9.32288     0.75162     4.74432     0.29880   -11.86540     0.02435     8.00000     0.00046     7.92774
  510     3     50.53614    -0.83626     0.03643    10.80563     0.51811     7.47856     0.91884    49.37290     0.27869     2.70310     1.22679    10.57134
  512     3    246.86931    38.86911     0.02765    10.46901     0.51025     4.94281     0.89844    12.29140     0.43543     3.80700     1.54912     8.75127
  515     3    199.06149    47.59936     0.05730    10.55411     0.48770     7.08487     0.75545   -39.36010     0.20125     4.55680     2.43867     7.86249
  516     4    167.96743    45.54140     0.02844    10.31721     0.64103     6.07043     0.61033    63.90650     0.49734     1.54700     4.57153     7.45446
  518     3    125.21876    18.01554     0.04373     9.86613     0.44361     6.21737     0.26473    86.87620     0.19461     1.02500     1.28578     7.67906
  519     4    240.67742    41.19726     0.03332    10.62271     0.65687     6.47652     0.61545    63.51460     0.07261     2.26100     1.92461     6.89744
  520     3    263.20536    56.90127     0.02934    10.29113     0.47910     5.68879     0.36069    12.07890     0.11195     1.00000     0.30469     6.47340
  521     4    322.30605    -0.29477     0.03052    10.53863     0.48236     6.02855     0.76571   -35.13300     0.23000     1.00000     1.21408     7.53116
  528     1    223.48581    41.35706     0.12906    11.35281     0.44498    34.70789     0.44163   -41.30430     0.63293     4.49380    13.92227    79.40657
  529     4     40.96905     0.15265     0.02729     9.79531     0.56956     6.48076     0.12547    12.01740     0.40249     0.10000     6.86909     6.27452
  530     4    196.76151    34.97861     0.02299     9.09255     0.87600     2.70923     0.33508   -69.93460     0.38813     0.48190     1.60675     3.46980
  534     4    261.27855    56.87834     0.02834    10.14601     0.43077     9.12613     0.14665    36.81870     0.25552     0.98200     2.11328    11.00782
  535     2    253.42738    62.42000     0.06143    10.58612     0.45507     7.22026     0.67523   -42.64330     0.41781     5.15520     4.03622     9.07964
